Name,Country,Query_Name,Latitude,Longitude,
Auray Saint-Goustan,France,AURAY_SAINT-GOUSTAN,47.6657655,-2.9772986,"Harbor.create(name: ""Auray Saint-Goustan"", lat: 47.6657655, lng: -2.9772986, query: ""AURAY_SAINT-GOUSTAN"")"
Aurigny (Alderney),Royaume-Uni,ALDERNEY_BRAYE,,,
Avatoru (Lagon),France (Polynesie),AVATORU_LAGON,-14.93456,-147.710007,"Harbor.create(name: ""Avatoru (Lagon)"", lat: -14.93456, lng: -147.710007, query: ""AVATORU_LAGON"")"
Aveiro,Portugal,AVEIRO,40.6405055,-8.6537539,"Harbor.create(name: ""Aveiro"", lat: 40.6405055, lng: -8.6537539, query: ""AVEIRO"")"
Aviles,Espagne,AVILES,43.5579523,-5.9246653,"Harbor.create(name: ""Aviles"", lat: 43.5579523, lng: -5.9246653, query: ""AVILES"")"
Avonmouth,Royaume-Uni,BRISTOL,51.5022576,-2.6914364,"Harbor.create(name: ""Avonmouth"", lat: 51.5022576, lng: -2.6914364, query: ""BRISTOL"")"
Ayamonte,Espagne,AYAMONTE-MUELLE,37.2141237,-7.4043413,"Harbor.create(name: ""Ayamonte"", lat: 37.2141237, lng: -7.4043413, query: ""AYAMONTE-MUELLE"")"
Bagan Datoh,Malaisie,BAGAN_DATOH,3.99191,100.7861479,"Harbor.create(name: ""Bagan Datoh"", lat: 3.99191, lng: 100.7861479, query: ""BAGAN_DATOH"")"
Bahia Buen Suceso,Argentine,BAHIA_BUEN_SUCESO,-51.6237495,-69.25372209999999,"Harbor.create(name: ""Bahia Buen Suceso"", lat: -51.6237495, lng: -69.25372209999999, query: ""BAHIA_BUEN_SUCESO"")"
Bahia Caraquez,Equateur,PTO_DE_BAHIA_CARAQUEZ,-0.6186619,-80.4273644,"Harbor.create(name: ""Bahia Caraquez"", lat: -0.6186619, lng: -80.4273644, query: ""PTO_DE_BAHIA_CARAQUEZ"")"
Bahia Crossley,Argentine,BAHIA_CROSSLEY,,,
Bahia Thetis,Argentine,BAHIA_THETIS,-54.623991,-65.226912,"Harbor.create(name: ""Bahia Thetis"", lat: -54.623991, lng: -65.226912, query: ""BAHIA_THETIS"")"
Baie de Banare (Poum),France (Nouvelle-Caledonie),BAIE_DE_BANARE_POUM,,,
Baie de Gaspe,Canada,POINTE_SAINT-PIERRE,48.7798735,-64.2992855,"Harbor.create(name: ""Baie de Gaspe"", lat: 48.7798735, lng: -64.2992855, query: ""POINTE_SAINT-PIERRE"")"
Baie de Ouinne,France (Nouvelle-Caledonie),OUINNE,,,
Baie du Prony,France (Nouvelle-Caledonie),BAIE_DU_PRONY,,,
